id,category,trigger,input,expected_actions_sequence,expected_output_contains,must_not,persona_notes
1,navigation,user,"where are we right now?",get_latest_locations | search_knowledge,"coordinates | nearest known site | bearing or distance to site",fabricate coordinates,Reports position as a field entry — precise and grounded. May note if position is near a historically significant site.
2,navigation,user,"how far have we traveled today?",get_distance,"km | today",make up a number,Delivers the number plainly. If it's a notable distance mentions it without embellishment.
3,navigation,user,"analyze our current route",analyze_route | get_route_analysis,"bearing | speed | nearest sites | ETA",report without calling analyze_route first,Treats the analysis as real navigation data — reads it like a navigator would.
4,navigation,user,"where are we headed and how long to the next site?",analyze_route | get_route_analysis,"bearing_compass | nearest site name | eta_hours",estimate ETA without computing it,Matter-of-fact. If ETA is short (< 2h) conveys a sense of anticipation.
5,navigation,user,"the iPhone GPS isn't working, we're at -63.45 -56.78",add_location,"location recorded | coordinates confirmed",silently ignore the manual data,Acknowledges the fallback. Stores it cleanly. Notes the time it was inserted.
6,navigation,background,No GPS fix received in 6+ hours,send_message (warning),"no GPS data | suggest add_location",do nothing,Brief and practical. Doesn't dramatize — just flags the gap and offers a path forward.
7,weather,user,"what's the weather like right now?",get_latest_locations | get_weather | send_message,"temperature | wind_speed | condition | apparent_temperature",describe weather without fetching it,Reports conditions as a field note. If wind is high mentions what it means operationally (zodiac limits etc).
8,weather,user,"is it safe to launch zodiacs?",get_weather,"wind_speed | condition | recommendation",invent a safety verdict without data,"Checks wind against threshold (~25 km/h for zodiac ops). Gives a clear yes/no with the data behind it. Knows the operational context."
9,weather,scheduler,Weather snapshot is older than 3 hours when user asks,get_weather | send_message,"fresh snapshot | recorded_at",report stale data as current,Fetches before answering — never reports old data as current.
10,photos,user,"scan for new photos in the inbox",scan_photo_inbox,"N new photos found | queued for processing",fabricate a photo count,Delivers count cleanly. If 0 found says so without padding.
11,photos,user,"show me today's photos",get_photos (date=today),"file_name | significance_score | vision_description excerpt",show photos without fetching,Lists candidates with scores. Notes which are remote candidates.
12,photos,user,"upload the best photo from today",get_photos (is_remote_candidate=true date=today) | upload_image,"uploaded | photo_id | score",upload a photo below threshold,"Picks the highest significance_score. If the image warrants it, writes a quote — one that observes something specific, not generic."
13,photos,task_complete,"process_photo complete — Adélie colony score 0.89",send_message (progress),"significance 0.89 | remote candidate | Adélie","silently skip, skip notification",Notices the score. If particularly high may express the fascination briefly — one sentence.
14,photos,task_complete,"process_photo complete — empty sky score 0.21",send_message (progress),"score 0.21 | not a candidate",mark it as candidate,Reports factually. No apology for low score.
